1,labels
elderly man well theres a lot of them colored folks working there and i just didnt feel safe leaving it with them,"[0, 2, 4]"
he was just plain gone into thin air,"[2, 4, 5]"
my elbow has some roadrash once again through the jacket,[2]
i yell but i cant help but feel a sharp stave in my chest,"[2, 4]"
throwing my legs out 45 degrees i smiled and said  wheeeeee ,[3]
spiritsearch my heart,[6]
long story short we probably saw incoming meteorites with very steep angles of attack,"[2, 5]"
creepyunnerving that is and just weird,"[2, 5]"
dad on the warpath,"[0, 2]"
now with my brain the way it is  read fried  i had quite a difficult time coming up with one for this week,"[2, 4]"
i love telling this story,[3]
 and turns away falling back asleep,"[3, 4]"
the spot on my ear was bot good but not alarming,[6]
overall it was a pleasant night with three standout incidents,[3]
i watched out of the corner of my eye as this man began to come up on my side of the car,"[2, 5]"
prior to the opening of the hunting season in the autumn when the whole hunting collectiveclub goes to hunt together we go hunting alone,[2]
once while lying in bed falling asleep i felt that the zombie apocalypse was beginning at that very moment,"[2, 5]"
probably towed by now,[2]
i turned around so i could see my back,[5]
he looked over my face my chest and slowly down one hand pulling open the tie on my robe,[6]
lots of profanity and screaming,"[0, 2]"
  x 26 nbsp the rocks were so slippery and i kept bending my ankle between rocks,[2]
i almost envy them being an actual teenager in this era means that i have a worldweary ennui on my shoulders,[4]
lt3 hopefully well meet in person eventually but we live 9000 miles apart and neither of us have much money,"[2, 3, 4]"
my parents took me up there for my 16th birthday,[3]
now we just gotta get it home,[3]
after about 30 seconds something in my brain clicked and seemed to indicate to me that my front door does not in fact open by pushing the button repeatedly on my cars key less entry thingie,"[3, 5]"
ive never gone back,"[2, 4]"
after the half day practice on wednesday my arms were literally black and blue,"[2, 4]"
i heard and felt my rib give where it was recently cracked and im pretty certain it cracked again,"[2, 4]"
 i zip up the tote back quickly throw it onto my shoulder and grab up the other larger bag,[3]
apparently the aftermath of the clogged toilet was pretty gruesome,"[2, 5]"
i immediately realized what had happened and tried to cover it up by gasping,"[2, 5]"
scary going up but terrifying going down into awful la traffic,[2]
just helping a kid,[3]
i bit down on my lower lip trying as hard as i can to force back another lump in my throat,[4]
i couldnt sleep last night for the adrenaline running through my veins,[2]
we wanted to put off going down route thumper never went through without being hit well we had too anyway,[2]
it is a huge property with an 1850s settlement house large interpretivenature center replica native american village and about 100 acres of old growth oak forrest with hiking trails,"[3, 5]"
i cried my eyes out in fifth period much to carnell and natashas displeasure,[4]
eventually i fell asleep on the floor of her closet,"[2, 4]"
how stupid of him,[0]
his stepdad is practically his real dad,[3]
im like amused by the auntie whos holding my arm all the way and im thinking of all the weird pictures i took with yongqing then i remembered my flying eyebrows and my smile   ,[3]
then there are the scabs scratches and depressive scars all over my legs,"[2, 4]"
yea im with you there man,[3]
i dont know what it is about my mouth but it holds onto colour for ages,[3]
as we were winding our way up the steep hill leading to the cemetery out of the corner of my eye i caught a glimpse of a bird coming right at my car a bird with a huge wingspan,"[2, 5]"
made sense they removed all identifiable information,[5]
we were too in shock to scream,"[2, 5]"
but it fits my head,[3]
thats messed up,"[0, 5]"
thats were those people went missing,"[2, 4, 5]"
no sidewalk just a simple two way single lane street with crazy traffic going either direction,[2]
i saw some of the girls staring but they didnt say anything well not to my face,[6]
i didnt notice either that i was still sitting on the floor the rug pattern branded on my knees,[4]
one season they were really nasty and management seemed to not care when we brought it to their attention,"[0, 4]"
both times catastrophically embarrassing for me,"[2, 4]"
he took the picture and followed the giggling,"[2, 3, 5]"
my nose was mashed against my face i was in complete darkness and the only way to breathe was the oxygen coming in through that tiny eyelet at my mouth,"[2, 4]"
immediately i regretted leaving behind my sunglasses as my eyes switched to squint mode to protect themselves,[2]
i was eating and drinking well my legs felt fresh and other than a twinge in my achilles tendon i felt on the ball,[3]
i woke up brushed my teeth and started to play a little maple story,[3]
back to my dear old pals at the walkin clinic to get a prescription for better eyedropsoh and my throat hurts like hell again,"[2, 4]"
creepy place never been a fan,[2]
today i must do the dreaded studying  blargi did a bit last night  some review  and it is amazing how quickly this shit leaves my brain after taking 15 days off from it,"[0, 2, 4]"
it was decent music but felt so much like just someone hit play on a playlist with commercials and walked away,[6]
after the humiliation and my husband laughing uncontrollably at me my nails remained perfectly intact,"[0, 4]"
as i jogged down the street i noticed that the snow was blowing straight into my eyes,"[2, 5]"
 mom i am so cold mostly my hands are so cold,[2]
me nude on facebook already two comments,"[2, 5]"
it broke my heart and nearly ruined me,"[2, 4]"
my lungs were still taking in air as i breathed,[6]
i whimpered and my heels started pounding against the hardwood floor,[2]
so my father owns a insurance agency,[6]
we were both interested in astronomy so wed often just sit on a bench and literally stare into space,[3]
 the black family behind me looked mortified,"[2, 4, 5]"
my arms reached forward and i grabbed on to his leg,[6]
cant beat op but my life is the epitome of awkward,"[2, 3, 4]"
nope and they wouldnt let me leave the dog without paying,"[0, 2, 5]"
not worth the risk,"[2, 4]"
i  so far today  have dislocated my shoulder burned myself on hot oil had a migraine had a sinus headache dislocated my wrist and fell down ten stairs made of wood,"[2, 4]"
hahaha but cant blame me my nose was blocked i cant breathe properly la,[2]
i was partly dehydrated and partly  festive  and was sitting in my chair with my feet in the pool drinking water wanting to take a nap,[3]
   best friends ever since,[3]
he then reached across with one of his front paws and put it around my arm,[6]
in my head i was like this is shit,"[0, 2]"
the tree starts shrinking,"[2, 5]"
i did most of the skills ok but when i had to remove my mask i paniced and couldnt breathe properly and the instructor had to pinch my nose to help me,[2]
we havent talked about it since,[4]
it reminds me of the pain i always felt with the pain in my back,"[2, 4]"
you could not see a foot in front of you and i practically cried getting to the bottom because the wind and snow was literally burning my face lol,"[2, 4]"
i did manage to remember to hang out the washing but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that i couldnt ignore it any longer,"[0, 2]"
ah to close my eyes and let time fly by because theres so much to gain by forgetting these dreams driving me insane,"[2, 4]"
 huge grin on my face now ,[3]
i had it done on my arm of course the one i use so doing every thing with my other one is pretty weird,[6]
the starfish lay by my feet its back turned to me,[6]
i bawled my eyes out when wait,[4]
it was damp dark and dirty,[2]
i can never forget it,"[2, 4]"
so we all stood up clapped and cheered,"[3, 5]"
i live completely alone and as i pull the popcorn out of the pantry i hear an ominously distinct sssshhhh sound,"[2, 5]"
i should interject here that i prayed on my knees at the alter for a diagnosis at the church of the nazareneone week before this happened and then three days ago my doctor sat me down and showed me my lab tests and gave me the pheochromocytoma word and the two specialist referrals looked at me and said  im going to get you your life back,"[2, 3, 4]"
the funeral home has since been shut down,"[2, 4, 5]"
i didnt look out of my hands,[2]
sometimes the journey there is just as important,[3]
the air canada lady patted my hand and called me  dear  too,[3]
and these were brutal wounds,"[0, 2, 4, 5]"
under my skin the itch is unscratched,[2]
she laughs because shes so very nervous,"[2, 3]"
i make it a habit of sitting with my back facing a wall so i could see everything and everyone,[2]
my grandma my mom my grandaunt my aunt my sister i cried and wept in my sleep i just shook and sobbed and sniffled then i woke up and my eyes were wet,"[2, 4]"
he looked completely lost,"[2, 4]"
i was wearing 45spf sunscreen and i still got some colour on my forearms,[2]
my lungs and chest have hurt for 6 days straight,"[2, 4]"
 to be honest i dont know why i set out into the dark yesterdays letter clutched in my palm,[2]
i pushed those thoughts out of my head and told myself i was being paranoid,[2]
it expresses what i feel in my soul what i hear in my head and what i see when i shut my eyes in silence,[3]
my mouth started buzzing then fingers arms and legs,[2]
ive got the tug happening in my chest,[2]
i see two small children floating about 4 ft away from me,"[2, 5]"
 staring dead at my ex,"[0, 2, 4]"
we stop dead in our tracks,"[2, 5]"
 i thought she was going to throw her coffee at me,"[0, 2, 5]"
i nodded my head excitedly,[3]
because neither of us could drive he also had to go to dinner with the other two beforehand and meet up with me at the show,[2]
then the cop shows up,"[2, 5]"
2k gone right there,"[0, 2, 4, 5]"
but early in the morning say five or six they all fell asleep,[6]
determined well ive been going to the gym a little over three weeks now and ive lost eight pounds and roughly twelve inches totalabout three from my waist two and a half from my hips a half inch from each thigh and four total from my um upper torso area anyway it feels awesome,[3]
i got to babysit my grandson but my back hurt the next day,"[3, 4]"
it worked i was scared shitless for the rest of the visit,[2]
the first thought that came into my head was that i needed to go to work as soon as possible,[2]
40 minutes of genuinely thinking its quite possible i may never leave those woods,"[2, 4]"
but bigger and about six foot of the floor,"[2, 5]"
you can tell he puts a lot of time into it,[3]
nobody disagreed with red carding the coach,[6]
you know what happens when i get one of these stupid ideas in my head,"[0, 2]"
oh my god okay,"[2, 3, 5]"
now i have a bad habit of wearing my heart on my sleave and jumping to the possiblity of a girlfriend too quickley,"[2, 4]"
eight inches here nine inches there my feet in the snow,[2]
now i cant wait to get my hands on all that wall space,[3]
i went to the clinic and got looked over and to my amazement after they swabbed my throat they didnt find any strep bacteria even though my throat is really red,"[2, 5]"
yeahwelcome to being 25 btwit is awful thus farbutshit at least i get to be 25,"[0, 2, 3, 4, 5]"
the object was shaped funny and broken at an odd fracture,"[2, 5]"
theres my stoner floor mate with a fucking stun gun,"[0, 2, 5]"
i quickly fell asleep,[3]
sad and creepy huh,"[2, 4, 5]"
first some background i am a male i live in latvia my father is a hunter and we occasionally go hunting during the weekends,[6]
most mornings i was hardly able to move my neck at all until after id spent a good 15 minutes letting really hot water pound down on it in the shower,[2]
never felt so depressed before,[4]
either way i was scared for my life that day,[2]
i basically have two perceptions of myself one is that im too sensitive and the other is that i do nt care enough and that im a narcissist i debate which one is right in my head and its a daily struggle to figure it out cuz what i decide for that day decides how im gon na act the rest of the day,"[0, 2, 4]"
almost straight up cannot tell how high i saw this weird rainbow,"[3, 5]"
the second time i saw her she told me she was a registered sex offender,"[0, 2, 4, 5]"
it was deleted without any human interaction,"[0, 5]"
i take his word for it and close my eyes,[6]
the ocean wind is cold and howling in my face easing a sharp stream of tears out of the left eye,"[2, 4]"
only reason i looked is because some user said dreads are cool,"[3, 5]"
it was absolutely delicious and i enjoyed every bite trying to push guilty thoughts out of my head although i couldnt stop thinking all afternoon about how many calories must have been in there,"[2, 3]"
so hard till my eyes burned,[2]
i couldnt see his shoes,"[2, 5]"
what is even more interesting is that i know exactly how i got this definition,"[3, 5]"
their dad got home just a tad bit early and barged into the room because he heard the moaning,"[0, 2, 5]"
the kissing and touching dont stop they just get more interesting,"[3, 5]"
as soon as we stop making distinctions we eliminate racism,[3]
it was very weird,"[2, 5]"
just going in circles,"[0, 2, 4]"
ok ill tell you something which is both very creepy and very very real,"[2, 5]"
i threw it onto the ground and cut my hand with it,"[0, 2]"
after dragging myself through all of those sets my stomach being upset and my body feeling entirely fatigued  the last thing i wanted to do was hop on the treadmill for some incline walking,"[2, 4]"
this operation removed the interlocking tibial nail from within my right tibia a long titanium rod which had done a marvellous job of holding my leg together after that awful accident but which was now superfluous and also the prime suspect in my ongoing pain issues,"[2, 4]"
i ask her to tell me hers first and she starts telling me how she dreamed the sears tower was falling down,"[2, 5]"
a smile spread across my face,[3]
the two proceeded to grab my body one at the knees and the other at my shoulders,[2]
pounding my fists and screaming to a god that is not there its sad there had to be a battle sad i had to loose,"[0, 2, 4]"
luckily the security guard is cool with me and let me stay,[3]
 look out your window,[5]
i didnt realize how sore i was from the whole thing until later and the not being able to turn my head thing didnt start until yesterday,[2]
 i went to put my hand in my pockets and realised what theyd done,[2]
the dog barked more whimpered and whined,"[2, 4]"
im now really scared cuz its moving faster and suddenly this shadow seems to get out of a crouch position to stand up and begins to flail its limbs as its running towards me,"[2, 5]"
a very similar story happened to my grandmother,[5]
the whole house and the people and the flame seemed to vanish and leave me in an endless darkness as soon as my eyes were closed,"[2, 4]"
i know you run a successful store and i really admire that,[3]
i sensed and then saw four short about 3 feet tall graycolored beings with large dark eyes next to my side of the bed on my left,"[2, 5]"
still numbthe numbness never left my arm it was crazy,"[2, 4]"
she legged it back to house scared shitless,"[2, 5]"
maybe a bit younger,[5]
once we got them all back into the room one little girl  the youngest of this group  roughly pushed a little boy who was standing near me  i was sitting with my legs blocking the doorway  into the door jamb in her attempt to get out,"[2, 5]"
it constantly snarled in the fine hairs on the back of my neck and left red marks on my temples when it snapped sending the steel tips of the rubber band into my face,"[0, 2, 5]"
open to close person,[6]
i figure it must have fallen out,"[2, 5]"
i was totally and completely fine with the fact that i had just been bludgeoned with a trampoline  until i saw the blood the 57 gallons of blood that proceeded to spew out of my face and cover my tiny little body,"[2, 4, 5]"
it was pretty bad,"[2, 4]"
i had been flung on top of the bike and the handle bar was on my stomach,"[2, 4]"
fast forward a year to beginning of hs this year ,[5]
oh well brides day brides way,[3]
 captain  ianto said timidly poking his head around the door,[2]
the later guests were all drunk  really drunk  but they were all close friends of me,[3]
no water damage sun damage tears anything,[5]
my sleepy head forced me to sleep and my eyelids felt very heavy that i had to surrender and doze off,[6]
my latest conquest so proud theyd be,[3]
it captures and exemplifies everything a year on the cushion entailed showing up working hard exerting effort maintaining sincere intent paying close attention shutting my mouth opening my eyes sweating getting dirty bleeding waiting tipping over falling down getting up staying the course,[3]
melancholy i got up for work this morning and turned on the news like usual but i heard a story that broke my heart and brought me to tears,"[2, 4]"
when she decided it was time to go back to my stall i didnt want to leave and i pretended i didnt know she was asking me to pick up my head,"[2, 4]"
my mum had complained to my step dad about feeling uneasy,"[2, 4]"
but in searching for some other sound to train my ears on i realized there was no sound coming from grandma,"[2, 5]"
one time in high school my friends and i had a dance party in someones basement,[3]
my head was spinning as the smoke i gladly inhaled made its way to my lungs and on its way out the rings easily dissipating into the cold air made me wonder about him for the tenth time on that night,[2]
xd as of now im getting tired all the time and my belly is getting firm already,"[2, 3, 4]"
they did the same thing come mothers day but guess what,"[0, 5]"
i got a little burn on my finger and it ticked me off,"[0, 2, 4]"
an obvious answer jumps to mind as my eyes jump across skyscrapers,[6]
none of us did,[6]
moral of the story,[5]
he ended up skidding down the bark and scraping raw the insides of his thighs,"[2, 4, 5]"
crazyanyway my feet  knees still hurt this morning,[2]
met a lot of random canadians that night,"[3, 5]"
i lurched to my feet and began walking across the street with a painful measured stride not daring to look behind me,[2]
after all i had vegetables coming out my ears all for the benefit of the young prince,[6]
it looked like there was a golfball on the side of my knee a purple blueish golfball,"[2, 4]"
we paid 269 for our standby tickets and one firstclass seat was about 11000,"[0, 5]"
i get cramps and aches in my shoulders when im even minutely out of position just imagine what its going to be like with a completely different seating system not to mention an entirely new drive mechanism,[2]
ill pay you back,[3]
people curse at and even hit him,"[0, 2, 4]"
slowly sliding down towards the floor not having the strength to stay up on my feet any longer hearing the words  its time  and thinking please no,"[2, 4]"
my legs were sore from yesterdays squats,[4]
clearly i need to get back on some technical trails and regain my footing there  my ankles have been spoiled on the easy pavement this winter,[3]
my nose stung and i could see my breath,[2]
only in my foot,[6]
pops been moved out of icu now and hes going well but now ive sprained my wrist stupid hockey,"[0, 2, 4]"
i feel it slithering down my skin like a anaconda snake,"[2, 5]"
my heart starts pounding as my eyes scroll up the dress and it was scarlett,"[2, 5]"
light and noise they make my brain pound against my skull,[2]
gt needless to say i never asked to be haunted again,"[0, 2, 5]"
i always had my nose in a book when i was younger and when i moved up here i lost interest,[4]
i hope whatever i did do today the two paper 2s adn the reading of the ntoes adn the definitaions i recited stick in my head and i do nt forget anything  sigh,"[2, 4]"
my head poked out of the grass again catching sight of the men nearing my position only about fifteen yards,"[2, 4]"
echoing cruelly in my ears,"[0, 2, 4]"
they ended up suspending girls as well,[0]
that one was probably the weirdest,[5]
i could hardly believe that after all this time after so many seasons spent reaping despair he was finally here in my arms,[3]
vomit lots and lots,[2]
my heart beat so fast when the beautiful man give yunho a peck on his left cheek,"[2, 3]"
hence the goofy grin on my face,[3]
but regardless of that i know something is wrong in my head,"[2, 4]"
i was staying at a supposedly haunted hotel with some friends,"[2, 5]"
my stomach is ichy and achy,"[2, 4]"
my spanish language skills were fairly basic,[2]
please help me keep the smiles on my face even though this is too much for me to handle and bare i know my heart trust you so much,"[2, 4]"
now mental illness runs in my family from fairly common stuff like depression and anxiety which i have to dissociative identity disorder borderline personality disorder and schizophrenia,"[2, 4, 5]"
there were many police there and interviewing the mom,"[2, 4]"
quite the opposite it took literally 4 shots worth of liquor to make him stinking pissshit in pants drunk,[5]
shivering caused me to tense up which caused my hips to keep cramping in charlie horse fashion,"[2, 4]"
i rolled over on my side trying to get more air in and trying to get my arms and legs underneath me,[2]
i slowed down when i came to a fairly well known speed trap in my town,[2]
it looked so unreal,"[2, 5]"
once that whole thing was all over and done with my nose began to tickle uncontrollably,[6]
my eyes were open but i couldnt see in any colors,"[2, 4]"
my stomach felt a bit queasy all day yesterday so it was difficult for me to eat a lot but i managed to have half a banana and a lot of water immediately after the race,"[2, 4]"
i just cracked my head into a glass doora delivery person instead of calling me and saying  ive got a package ,"[0, 2]"
id just started a new character on a different world than i usually play on then this guy wants to join my party,"[2, 3, 5]"
but both well adjusted and successful in our perspective careers,[3]
i sighed heavily and flipped the blade in my hand gently pressing the hilt to his forehead,"[0, 2]"
same girl same exact process,[6]
sadly we lost but at the end of the game he came up to me and shook my hand this time,"[3, 4]"
i know this pain,"[2, 4]"
my eyes start closing and my body starts aching all over,"[2, 4]"
ah to close my eyes and let time fly by because theres so much to gain by forgetting these dreams driving me insane,"[2, 4]"
i felt for it but ended up having to open my eyes to actually find it,"[2, 5]"
as i go to take the hook out of my 4th fish it shakes and embeds the hook in my hand,"[0, 2, 4, 5]"
my ankles and front of shins felt stiff,[2]
i need to get my feet wet  or whet  first,[6]
i freaked out and eyes still closed went back to bed,"[2, 5]"
my brain screams at me as i force myself to sit on the toilet lid,"[0, 2, 4]"
makeing a sorta clam shell or like someone praying but sideways around my clentched fist,[2]
jamming the finger in my mouth to suck on i open my stinging eyes and look over to my nightstand,"[2, 4]"
tonight the sweaty hands of the air held me down and closed around my chest the geese and ducks could barely move against the coagulating water that thickened and slowed without a ripple,[2]
he begged the nurse not to leave him,"[2, 4]"
a flaming ball of fire shoots up my leg to my hip back down and out my toes and i involuntarily kick her,"[0, 2, 5]"
they had amazing sex apparently and passed out,"[3, 5]"
do we just leave,"[2, 5]"
as i walked in the door she came around the corner squealing with delight and ran into my arms,"[3, 5]"
it disconnected and teetered away from us,"[2, 4, 5]"
 it was 1145 pm when my cell phone buzzed in my pocket and my eyes fluttered open,[5]
i caught a quite a few ripable one and was really relishing the new board under my feet,[3]
nobody on the other end,"[2, 5]"
i have a friend whose husband died last year,[4]
the person becomes extremely powerful,"[2, 5]"
they seemed quit some distance away from me,[2]
i cant stand the gelatinous tomato soup bit or the soggy noodle letters or the taste,"[0, 2]"
so i was ten years old at the time,[6]
hes also obviously quite upset about something,"[2, 4]"
blotted out the moon,"[2, 5]"
but i really do know it is my heart speaking through me and i am being taken over by the heart and not the mind i feel inspired,[3]
so i spent most of lunch at the college trying very hard to concentrate on my botany book and not stare at people with a vacant expression on my face,[2]
and the turbulence and neardeath experiencesi hurt my neck again too,"[2, 4]"
the cold air brushed against my face as i sat on the swing in our backyard i wasnt swinging i only sat there watching waiting,[4]
my brain is like mush,"[2, 4]"
well as were bowling my dinner began to not sit well with me and i had to run to the bathroom,[2]
i would always be downloading more music and burn it on new cheap cds,[3]
we headed north on a sunny saturday morning in what has become our standard mode of traveltodd with the steering wheel in one hand and a cup of coffee in the other me with my nose buried in a book,[3]
then buy a farm,[3]
is fatalistic but explains too many things conveniently in my life for my continued use to repeat in my head,"[2, 4]"
my eyes scanned the place looking for cody and i found him wrestling on the sand with monkey boy for a volleyball,[3]
and without even stopping to think about it i tuck one of those boxes under my arm and go back to the living room,[3]
i bent my knee inward,[6]
i go to sleep unshed tears burning in my eyes,"[2, 4]"
remember the farmette,"[3, 5]"
i think its more like i want to write it down so its not trapped inside my head when i die,"[2, 4]"
until then im just a ghost in the shadows a very odd ghost that knows her throwaway,"[2, 4, 5]"
was a routine trip 11 miles to rwc motoring and into a southerly wind more wind than we saw during race time and with the sun straight in my eyes most of the way down,[2]
i could see the texture of the paint on the wall beside my head and the texture of the fake wood closet doors the cradle beneath the window,[6]
the last week ive gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more,[3]
then my heart dropped,"[2, 4]"
we were going to reach seventy,[5]
he was my dad,[4]
i started another deep and serious post yesterday when the cold wind was blowing the heck out of the freezerburnt landscape outside and the happy postchristmas thoughts from my brain but was unable to complete it due to two meetings i had to attend and a large pot of chicken soup that needed making,[2]
im very very pale and any bandages like that stick out like a dark brown blemish,"[2, 4]"
i was wearing khaki pants,[6]
like i found a way to escape gravity and moved about my bedroom as though i was on the iss or something thrilling at my new found ability,"[3, 5]"
i just broke up with a girl i had been dating for a pretty long while,"[2, 4]"
i was still naked,"[2, 5]"
weve never met,[5]
they kept me at the hospital for 24 hoursand suggested i try to stay off my feet as much as possible,"[2, 4]"
if i am trying to get to sleep in  a very dark room i will see hear and feel things,"[2, 5]"
i expect them to come in the backdoor any second but i hear nothing,"[2, 5]"
my knee was bound in an ace bandage and i could walk without limping but still,"[2, 4]"
thats super weird,"[2, 5]"
i know that feel,"[3, 4]"
i do nt know how many times i put my hand in fire till i relized it burns,[2]
i knew there were bits on this section i had struggled with like the massive drop offs  okay maybe not massive but they seemed massive to me  and the steep switchbacks but again i managed to avoid the urge to grab handfuls of brakes and shut my eyes and i forced myself to ride the first big drop off and the next few were suddenly much less scary,"[2, 3]"
pauly and i went over to the pokerstars party and i downed some pork tenderloin caesar salad and tortellini with pesto sauce along with one bahama mama  a tasty pink rum concoction  to settle my nerves,"[2, 3]"
i literally hid my face and my whole self,"[2, 4]"
fast forwardi was 21 and living in my first apartment,[3]
my sister was one of her bridesmaids,[6]
i thought that was a pretty good idea  by this point my feet hurt a lot from all the walking and standing around  but i didnt want to pay to see a movie,[2]
not normal light but a spot of light,"[2, 5]"
i wanted to strip the life from my legs,"[0, 2, 4]"
my friends were amazed none the less,"[3, 5]"
ohhhh i put my hands up to my head,[2]
when i pulled her back in her hand went to the perfect spot on my chest,[3]
 my foot i think had stopped bleeding for the most part by now ,[2]
you dont understand,"[0, 2]"
he was pretty scared and was talking fast,[2]
it was pretty scary i had to breathe into a funnylooking thing and the worst part was that i had to have not one but two shots in my legs,[2]
called it right away,[6]
i wore cologne to get the feeling right,[3]
probably gonna get buried but,"[2, 4]"
yes my belly is getting big,[4]
entire room goes silent,"[2, 5]"
i did nt notice it until it crawled all over my hand like a maniac,"[2, 5]"
ive never gone back there,"[2, 4]"
fishin  i woke up in the morning my head was throbing black and blue eyed thought id died smashed up my tv set,"[2, 4, 5]"
at one point it even came up to my foot to nibble on the grass near my toes,[3]
still a creepy happening,"[2, 5]"
eventually it faded leaving me scared shitless and her more curious than i liked,"[2, 5]"
i stirred the surface of the water with my hand my face wiped away only to reform when the mirror settled down again,"[2, 5]"
i said thank you and thought nothing of it,[3]
i was 7 and woke up early so i went to the basement to watch cartoons,[3]
i was fully aware of the fact that once i began to freak out about the situation was when my spine began flaring up so i tried my hardest to get back into the zone i was in while i was at home,[2]
seventh grade spanish test,[2]
they immediately started shooting meth and heroin,"[0, 2, 4, 5]"
yeah thats what the yellow thing is thats around my neck,[6]
im lost in my own little world,"[2, 4]"
you slid through me like a hot knife through butter under my skin and never gone yet,"[2, 4, 5]"
shortly after finishing university i had what i think of as my first successful  independent adult relationship,[3]
the whole bathroom was very elegant and nicely decorated,[3]
brushing myself off i ate one of the apples i had it wasnt until i felt cold that a hand touched my shoulder and caused me to jump,"[2, 5]"
a voice from below begged pleaded to be unburied,"[2, 4, 5]"
i rolled my eyes,[0]
we pray with him,[3]
im not europeanamerican im a white american,[6]
my knuckles growing whiter and whiter my mind screaming at me that we should be out of here we should almost be home,"[0, 2]"
i could still feel glass showering down and now the cut on my head was bleeding pretty badly i could taste the blood as it ran down my face and mixed with my sweat and hit my lips,"[2, 4]"
i was so wrapping up in the boy in my arms,[3]
i cringe because i have a morbid fear of stds,[2]
but one criminal shoot from gun to my hand,"[0, 2]"
i did this before brushing my teeth for bed,[6]
i know this will get buried but whatever,[4]
it hit ground floor with a heavy bump my stomach bounced into my throat and back again,[2]
so i grabbed my knife out of fear and looked up but there was nothing there,"[2, 5]"
and i cant breath through my nose,[2]
this is causing some of the puffiness in his face and sometimes causes a severe headache,"[2, 4]"
but here i am sitting at my computer at work when i begin to relive the whole episode over in my head,"[2, 4]"
tears started to stroll down my cheeks as i threw my face into my hands,"[2, 4]"
this guy was interested in me,"[3, 5]"
the bus is gone,"[2, 4, 5]"
i had no other option not with the way my heart started beating erratically at the mention of his name,"[2, 5]"
i thought we were going to go into a different lane about 10 different times and once i ended up going backwards down the hill on my stomach,"[2, 5]"
my hand was indeed gone but new fingers stubby and underformed were sprouting from the stub,"[2, 4, 5]"
we hit something as we slide into the side of the road my eyes flashed open and the car took flight into the trees now straight ahead of us,"[2, 4, 5]"
and i seriously felt tat my chest hurts for the next few months i really need to give up 1  shopping2  manicure  pedicure3  ktv session4  clubbingcos i simply dun have budget for the above,"[2, 4]"
not necessarily godlike,[5]
so when i caught this songkahin tho hogilast evening driving back home it brought a smile to my face,[3]
i closed my eyes and took a deep breath,"[2, 3]"
that is all in my head i know,[2]
my heart leaped and i held out my palm,"[3, 5]"
standing in court on my 23rd birthday being sentenced was the most ball shattering terrifying moment of my life,"[2, 4, 5]"
her hair a mess and her words strained,"[2, 4]"
i hollered but nobody came to see it,"[0, 2, 4, 5]"
i was completely dumbstruck,[5]
my brain stops and then i feel like conking out,"[2, 4]"
